City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Ambilobe,MG,-13.2,49.05,72.16,83,6,3.02,clear sky
Eureka,US,40.8021,-124.1637,47.93,75,72,3.0,broken clouds
San Quintín,MX,30.4833,-115.95,59.23,85,0,16.49,clear sky
Saint-Philippe,RE,-21.3585,55.7679,74.21,80,36,8.75,scattered clouds
East London,ZA,-33.0153,27.9116,61.48,77,100,7.0,overcast clouds
Ancud,CL,-41.8697,-73.8203,55.22,87,0,3.4,clear sky
Flinders,AU,-34.5833,150.8552,78.19,58,1,8.99,clear sky
Gizo Government Station,SB,-8.103,156.8419,81.84,73,100,5.77,overcast clouds
Montepuez,MZ,-13.1256,38.9997,67.1,98,28,5.12,scattered clouds
Progreso,MX,21.2833,-89.6667,82.51,80,4,16.64,clear sky
Vilyuysk,RU,63.7553,121.6247,30.34,74,62,10.54,broken clouds
Kikwit,CD,-5.041,18.8162,71.69,92,97,1.52,overcast clouds
Skovorodino,RU,53.9833,123.9167,41.43,28,71,6.42,broken clouds
Mayumba,GA,-3.432,10.6554,76.12,93,37,5.41,light rain
Norman Wells,CA,65.282,-126.8329,17.64,35,20,4.61,few clouds
Yarmouth,US,41.7057,-70.2286,49.08,89,100,20.0,light rain
Cabedelo,BR,-6.9811,-34.8339,79.47,86,87,7.7,overcast clouds
Miyang,CN,24.4042,103.4428,79.0,44,11,10.16,few clouds
Port Moresby,PG,-9.4431,147.1797,90.82,58,40,13.8,scattered clouds
La Ronge,CA,55.1001,-105.2842,32.22,43,100,4.61,overcast clouds
Hirara,JP,24.8,125.2833,73.67,60,75,13.8,broken clouds
Berwick,US,41.0545,-76.2333,47.32,88,98,7.2,overcast clouds
Władysławowo,PL,54.7909,18.4009,35.94,69,100,3.47,overcast clouds
Clarence Town,AU,-32.5833,151.7833,75.61,55,15,4.05,few clouds
Sulangan,PH,11.1373,123.7228,82.53,73,61,8.16,broken clouds
Port Blair,IN,11.6667,92.75,86.04,70,20,5.75,few clouds
Tuatapere,NZ,-46.1333,167.6833,57.11,55,86,2.84,overcast clouds
Paranaíba,BR,-19.6772,-51.1908,58.35,70,1,5.44,clear sky
Leningradskiy,RU,69.3833,178.4167,14.74,92,91,7.34,overcast clouds
Binzhou,CN,37.3667,118.0167,70.34,18,94,8.95,overcast clouds
Port Hardy,CA,50.6996,-127.4199,44.78,61,40,10.36,scattered clouds
Cortez,US,37.3489,-108.5859,61.56,13,20,18.41,few clouds
San Luis,AR,-33.295,-66.3356,57.63,43,14,6.04,few clouds
Bulawayo,ZW,-20.15,28.5833,59.18,97,100,10.76,light rain
Kaputa,ZM,-8.4689,29.6619,65.68,95,84,2.39,light rain
Saint Anthony,US,45.0205,-93.218,33.73,50,0,5.75,clear sky
Kahului,US,20.8947,-156.47,80.62,44,75,11.5,broken clouds
Mehamn,NO,71.0357,27.8492,37.33,90,100,26.96,overcast clouds
Westport,US,41.1415,-73.3579,46.38,91,100,5.01,moderate rain
Charter Township of Clinton,US,42.587,-82.9199,36.95,65,100,12.66,overcast clouds
Katsuura,JP,35.1333,140.3,59.14,58,100,9.37,light rain
Shirokiy,RU,49.758,129.523,43.27,46,94,15.66,overcast clouds
Seda,LV,57.65,25.75,30.9,80,78,3.09,broken clouds
Ilulissat,GL,69.2167,-51.1,-9.74,90,7,5.66,clear sky
Naze,JP,28.3667,129.4833,70.72,55,88,10.25,overcast clouds
Koslan,RU,63.4564,48.8989,27.19,81,34,7.76,scattered clouds
Yaan,NG,7.3833,8.5667,77.97,80,90,4.18,overcast clouds
Teplá,CZ,49.98,12.8643,29.55,76,53,3.27,broken clouds
Hobart,AU,-42.8794,147.3294,78.26,45,0,20.71,clear sky
Kushima,JP,31.4583,131.2333,68.5,48,3,6.44,clear sky
Constitución,CL,-35.3333,-72.4167,53.64,76,0,4.36,clear sky
Belyy,RU,55.8402,32.9419,29.82,81,8,8.79,clear sky
Lázaro Cárdenas,MX,17.9583,-102.2,73.42,79,5,2.73,clear sky
Tautira,PF,-17.7333,-149.15,79.72,76,3,9.75,light rain
Kattivākkam,IN,13.2167,80.3167,87.89,71,98,11.1,overcast clouds
Gobabis,NA,-22.45,18.9667,61.65,54,95,4.63,overcast clouds
Kajaani,FI,64.2273,27.7285,30.25,64,0,6.91,clear sky
Galle,LK,6.0367,80.217,84.72,69,80,6.73,broken clouds
Nara,JP,34.6851,135.8049,67.91,47,51,6.69,broken clouds
Bataiporã,BR,-22.2953,-53.2711,57.9,86,0,3.74,clear sky
Haines Junction,CA,60.7522,-137.5108,33.75,60,100,4.61,overcast clouds
Severo-Kuril'sk,RU,50.6789,156.125,32.83,81,100,13.06,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,52.75,100,24,1.14,few clouds
Sept-Îles,CA,50.2001,-66.3821,31.05,81,20,1.14,few clouds
Hasaki,JP,35.7333,140.8333,64.29,55,98,9.26,light rain
Aksu,CN,41.1231,80.2644,63.09,11,77,11.27,broken clouds
Praia da Vitória,PT,38.7333,-27.0667,57.76,94,40,11.83,scattered clouds
Minot,US,48.2325,-101.2963,19.62,73,0,6.91,clear sky
Katherine,AU,-14.4667,132.2667,95.32,29,61,14.97,broken clouds
Show Low,US,34.2542,-110.0298,57.49,20,0,19.57,clear sky
Saint George,US,37.1041,-113.5841,70.39,21,0,5.75,clear sky
Mackay,AU,-21.15,149.2,85.68,65,7,18.41,clear sky
Howard Springs,AU,-12.497,131.047,89.98,71,91,6.98,overcast clouds
Saskylakh,RU,71.9167,114.0833,21.96,92,100,20.07,overcast clouds
Barcelos,PT,41.5388,-8.6151,55.54,90,93,2.19,overcast clouds
Carnarvon,AU,-24.8667,113.6333,78.87,57,100,16.11,light rain
Santa Catarina,BR,-27.0,-50.0,48.94,99,13,0.92,few clouds
Safi,MA,32.2994,-9.2372,65.48,57,98,12.24,overcast clouds
Hambantota,LK,6.1241,81.1185,84.54,94,40,5.75,scattered clouds
Bakel,SN,14.905,-12.4568,85.93,14,33,11.7,scattered clouds
Angoram,PG,-4.0625,144.0661,87.84,63,56,4.7,broken clouds
Suez,EG,29.9737,32.5263,72.37,14,0,3.42,clear sky
Gimli,CA,50.6336,-96.9907,21.22,53,45,1.14,scattered clouds
Kumul,CN,42.8,93.45,62.2,15,0,8.81,clear sky
Pareora,NZ,-44.4871,171.2132,56.17,91,100,11.45,overcast clouds
Três Lagoas,BR,-20.7511,-51.6783,58.8,79,0,5.64,clear sky
Alofi,NU,-19.0595,-169.9187,85.89,70,57,6.91,broken clouds
Chui,UY,-33.6971,-53.4616,58.82,86,5,3.47,clear sky
City of San Pedro,PH,14.35,121.0167,85.35,76,75,6.91,broken clouds
Najrān,SA,17.4924,44.1277,70.45,23,24,1.83,few clouds
Ouésso,CG,1.6136,16.0517,72.0,90,51,1.92,broken clouds
Yulara,AU,-25.2406,130.9889,87.64,23,4,5.75,clear sky
Poplar Bluff,US,36.757,-90.3929,55.29,47,100,8.05,overcast clouds
Kayes,ML,14.0,-11.0,92.1,20,84,5.73,broken clouds
Korla,CN,41.7597,86.1469,59.95,8,0,6.08,clear sky
Roebourne,AU,-20.7833,117.1333,95.97,24,10,10.67,clear sky
Yeppoon,AU,-23.1333,150.7333,82.18,60,1,12.82,clear sky
Fairbanks,US,64.8378,-147.7164,33.76,34,0,14.97,clear sky
Daru,PG,-9.0763,143.2092,83.03,81,91,6.96,overcast clouds
Pemangkat,ID,1.1667,108.9667,87.08,62,94,4.92,overcast clouds
Basco,PH,20.4487,121.9702,76.84,76,67,16.22,broken clouds
Novi Troyany,UA,45.9427,28.8563,40.44,76,100,18.92,light rain
Shache,CN,38.4167,77.2406,60.71,17,0,8.52,clear sky
George Town,MY,5.4112,100.3354,89.53,70,20,3.44,few clouds
Pisco,PE,-13.7,-76.2167,65.01,82,0,6.91,clear sky
Mattru,SL,7.6244,-11.8332,74.64,91,81,1.39,broken clouds
Arlit,NE,18.7369,7.3853,72.12,16,95,8.99,overcast clouds
Acapulco de Juárez,MX,16.8634,-99.8901,80.42,69,0,2.3,clear sky
Sung Noen,TH,14.8992,101.8207,93.29,100,83,3.2,broken clouds
Touros,BR,-5.1989,-35.4608,78.93,84,93,6.13,overcast clouds
San Ramon,US,37.7799,-121.978,52.38,73,0,8.05,clear sky
Melfi,IT,40.9965,15.6514,42.42,78,100,12.75,overcast clouds
Torbay,CA,47.6666,-52.7314,45.88,71,40,23.02,scattered clouds
Hoquiam,US,46.9809,-123.8893,44.58,74,0,13.8,clear sky
Gushi,CN,34.6425,109.5843,62.53,45,96,12.93,overcast clouds
San Policarpo,PH,12.1791,125.5072,83.66,70,55,8.68,broken clouds
Chumikan,RU,54.7183,135.315,30.4,75,100,6.46,overcast clouds
Youhao,CN,47.8667,128.8333,45.03,35,95,9.42,overcast clouds
Bengkulu,ID,-3.8004,102.2655,85.86,66,83,5.46,broken clouds
Gandorhun,SL,7.5,-11.8333,74.59,92,78,2.24,broken clouds
Iranshahr,IR,27.2025,60.6848,77.34,25,0,6.91,clear sky
Bhainsa,IN,26.9548,76.9012,94.96,7,0,5.12,clear sky
Itamarandiba,BR,-17.8572,-42.8589,62.74,92,81,2.91,broken clouds
Xapuri,BR,-10.6517,-68.5044,72.12,87,79,3.0,broken clouds
Vao,NC,-22.6667,167.4833,77.38,67,0,6.73,clear sky
Sikasso,ML,10.9167,-7.0,74.61,73,100,2.71,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,17.19,79,100,8.05,light snow
Curvelo,BR,-18.7564,-44.4308,66.11,87,47,4.16,scattered clouds
Pyapon,MM,16.2833,95.6833,94.53,40,4,5.61,clear sky
Magadan,RU,59.5667,150.8,34.54,65,76,2.57,broken clouds
Vila Franca do Campo,PT,37.7167,-25.4333,61.21,91,98,9.6,overcast clouds
Lucea,JM,18.451,-78.1736,71.46,77,8,5.88,light rain
Prudy,RU,57.5738,46.2718,30.78,72,99,11.36,overcast clouds
Kavieng,PG,-2.5744,150.7967,84.6,71,26,8.03,scattered clouds
Taoudenni,ML,22.6783,-3.9836,71.4,30,0,10.78,clear sky
Ipswich,GB,52.0592,1.1555,50.05,84,97,5.75,haze
Hashtrūd,IR,37.4779,47.0508,40.14,68,4,1.66,clear sky
Saint-Médard-en-Jalles,FR,44.8969,-0.7214,52.02,82,0,3.44,clear sky
Man,CI,7.4125,-7.5538,69.66,99,100,2.24,moderate rain
Beringovskiy,RU,63.05,179.3167,31.73,98,100,18.34,light snow
Staryy Nadym,RU,65.6118,72.6842,16.57,81,97,16.71,overcast clouds
Trencin,SK,48.8333,18.25,34.07,76,35,5.97,scattered clouds
Garoowe,SO,8.4054,48.4845,77.52,75,39,9.66,scattered clouds
Palmer,US,42.1584,-72.3287,42.4,84,100,5.75,light rain
Pattani,TH,6.75,100.4167,87.51,59,98,2.26,overcast clouds
Huarmey,PE,-10.0681,-78.1522,67.06,85,97,7.58,overcast clouds
De-Kastri,RU,51.4667,140.7833,33.82,92,100,7.83,light snow
Vestmannaeyjar,IS,63.4427,-20.2734,45.97,82,49,12.39,scattered clouds
Rafaela,AR,-31.2503,-61.4867,60.98,50,13,4.81,few clouds
Kemijärvi,FI,66.7131,27.4306,33.84,89,99,4.47,overcast clouds
Horqueta,PY,-23.3428,-57.0597,62.73,60,70,3.58,broken clouds
Hobyo,SO,5.3505,48.5268,83.57,73,33,12.57,scattered clouds
St. George's,GD,12.0564,-61.7485,80.28,78,40,23.02,scattered clouds
Castrillón,ES,43.3979,-6.7922,50.14,96,87,0.83,overcast clouds
Seoul,KR,37.5683,126.9778,63.97,36,0,4.61,clear sky
Sobolevo,RU,54.4299,31.8996,30.31,84,91,13.35,overcast clouds
Moïssala,TD,8.3404,17.7663,77.94,56,1,4.21,clear sky
Kieta,PG,-6.2167,155.6333,83.91,72,95,4.83,light rain
Rongcheng,CN,30.634,117.8517,66.47,51,76,2.73,broken clouds
Paamiut,GL,61.994,-49.6678,22.48,86,28,0.34,scattered clouds
Estelle,US,29.8458,-90.1067,75.2,76,100,8.05,overcast clouds
The Pas,CA,53.8251,-101.2541,24.82,39,75,2.3,broken clouds
Gazli,UZ,40.1333,63.45,70.39,43,13,17.45,few clouds
Khovd,MN,48.0056,91.6419,52.11,12,0,3.56,clear sky
Rancho Palos Verdes,US,33.7445,-118.387,61.95,90,20,12.66,few clouds
Lusambo,CD,-4.9667,23.45,68.74,99,100,1.3,overcast clouds
Balkhash,KZ,46.844,74.9804,57.81,19,0,17.9,clear sky
Hudson Bay,CA,52.85,-102.3842,18.23,97,100,2.15,overcast clouds
Champerico,GT,14.3,-91.9167,83.86,71,9,9.1,clear sky
Saint-Jérôme,CA,45.7804,-74.0036,39.07,48,75,2.3,broken clouds
Margate,GB,51.3813,1.3862,49.3,86,54,3.0,broken clouds
Ranong,TH,9.9658,98.6348,85.93,60,44,3.78,scattered clouds
Obo,CF,5.3998,26.4869,67.78,96,100,3.65,overcast clouds
Prince George,CA,53.9166,-122.753,36.84,38,0,6.91,clear sky
Plátanos,GR,37.6667,21.6167,62.08,56,93,6.44,overcast clouds
Panabá,MX,21.2833,-88.2667,76.87,73,1,10.27,clear sky
Matara,LK,5.9485,80.5353,85.23,70,83,6.33,broken clouds
Tonota,BW,-21.4833,27.4833,61.14,94,100,10.76,light rain
